src_ip,dst_ip,src_port,dst_port,protocol,packet_size0,packet_size1,packet_size2,packet_size3,packet_size4,packet_size5,packet_size6,packet_size7,packet_size8,packet_size9,packet_size10,packet_size11,packet_size12,packet_size13,packet_size14,packet_size15
192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,134.0,150.0,150.0,150.0,550.0,150.0,294.0,150.0,198.0,374.0,150.0,1494.0,326.0,182.0,150.0,150.0
192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,100.0,70.0,85.0,70.0,70.0,70.0,72.0,70.0,76.0,70.0,100.0,70.0,85.0,70.0,70.0,70.0
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,122.0,70.0,114.0,182.0,70.0,142.0,106.0,70.0,194.0,106.0,70.0,122.0,70.0,114.0,182.0,142.0
192.168.10.30,128.130.135.23,1883.0,39808.0,6.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,479.0,256.0,114.0,70.0,70.0,70.0,70.0,479.0,70.0,278.0,70.0,479.0,70.0,278.0,70.0,70.0
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.30,128.130.135.23,1883.0,34240.0,6.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.22,128.130.2.3,123.0,123.0,17.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
192.168.10.23,142.251.36.106,48816.0,443.0,6.0,78.0,78.0,70.0,723.0,76.0,600.0,70.0,70.0,70.0,824.0,132.0,101.0,70.0,70.0,70.0,309.0
192.168.10.23,34.117.65.55,58196.0,443.0,6.0,94.0,70.0,98.0,70.0,94.0,98.0,70.0,94.0,98.0,70.0,94.0,98.0,70.0,70.0,94.0,70.0
192.168.10.32,192.168.10.255,138.0,138.0,17.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
192.168.10.150,239.255.255.250,1900.0,1900.0,17.0,491.0,534.0,562.0,482.0,546.0,548.0,548.0,546.0,482.0,562.0,534.0,491.0,491.0,534.0,562.0,482.0
192.168.10.22,81.16.47.3,123.0,123.0,17.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
192.168.10.22,217.196.145.42,123.0,123.0,17.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
192.168.10.32,239.255.255.250,63733.0,3702.0,17.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
192.168.10.150,192.168.10.255,138.0,138.0,17.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
192.168.10.32,51.104.136.2,26671.0,443.0,6.0,70.0,70.0,64.0,274.0,1518.0,1518.0,896.0,64.0,216.0,109.0,127.0,64.0,145.0,284.0,96.0,96.0
192.168.10.32,51.104.136.2,26672.0,443.0,6.0,70.0,70.0,64.0,274.0,1518.0,1518.0,896.0,64.0,216.0,109.0,127.0,64.0,145.0,1045.0,96.0,96.0
192.168.10.22,185.144.161.170,123.0,123.0,17.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
192.168.10.22,78.41.116.149,123.0,123.0,17.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
192.168.10.22,162.159.200.1,123.0,123.0,17.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
192.168.10.32,52.184.214.53,26674.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,210.0,96.0,709.0,96.0
192.168.10.135,35.159.42.141,42628.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,356.0,128.0
192.168.10.32,52.182.143.209,26675.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0,96.0
192.168.10.23,34.117.65.55,58202.0,443.0,6.0,78.0,78.0,70.0,724.0,70.0,282.0,70.0,134.0,240.0,656.0,70.0,101.0,101.0,70.0,70.0,109.0
192.168.10.23,34.117.65.55,58204.0,443.0,6.0,78.0,78.0,70.0,715.0,70.0,288.0,70.0,134.0,606.0,70.0,868.0,70.0,156.0,70.0,207.0,70.0
192.168.10.32,51.104.136.2,26676.0,443.0,6.0,70.0,70.0,64.0,274.0,1518.0,1518.0,896.0,64.0,216.0,109.0,127.0,64.0,145.0,1077.0,96.0,96.0
192.168.10.32,52.184.214.53,26677.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1031.0,64.0,216.0,109.0,127.0,64.0,145.0,210.0,96.0,709.0,64.0
192.168.10.32,40.70.229.150,26678.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,709.0,64.0
192.168.10.32,52.184.213.187,26679.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,712.0,64.0
192.168.10.32,52.179.216.235,26680.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,709.0,64.0
192.168.10.23,142.251.36.74,60212.0,443.0,6.0,78.0,78.0,70.0,730.0,76.0,600.0,70.0,70.0,70.0,838.0,132.0,101.0,70.0,70.0,70.0,309.0
192.168.10.32,52.184.216.246,26681.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,709.0,64.0
192.168.10.32,52.184.214.53,26682.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,209.0,96.0,710.0,64.0
192.168.10.135,3.127.6.122,48844.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,356.0,128.0
192.168.10.23,34.149.100.209,43174.0,443.0,6.0,78.0,78.0,70.0,730.0,70.0,282.0,70.0,134.0,240.0,314.0,656.0,70.0,101.0,101.0,70.0,70.0
192.168.10.32,20.189.173.15,26683.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0,96.0
192.168.10.23,35.201.103.21,40360.0,443.0,6.0,78.0,78.0,70.0,717.0,70.0,282.0,70.0,134.0,240.0,255.0,656.0,70.0,101.0,101.0,70.0,480.0
192.168.10.23,34.98.75.36,58348.0,443.0,6.0,78.0,78.0,70.0,729.0,70.0,282.0,70.0,134.0,240.0,273.0,656.0,70.0,101.0,70.0,101.0,70.0
192.168.10.23,34.160.144.191,50052.0,443.0,6.0,78.0,78.0,70.0,728.0,70.0,282.0,70.0,134.0,240.0,326.0,656.0,70.0,101.0,70.0,101.0,70.0
192.168.10.23,35.244.181.201,42650.0,443.0,6.0,78.0,78.0,70.0,587.0,70.0,226.0,70.0,121.0,247.0,394.0,139.0,70.0,108.0,108.0,70.0,70.0
192.168.10.23,54.214.185.83,47796.0,443.0,6.0,78.0,78.0,70.0,587.0,70.0,1518.0,1518.0,615.0,70.0,196.0,1261.0,70.0,121.0,70.0,310.0,70.0
192.168.10.32,52.179.216.235,26685.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,709.0,96.0
192.168.10.23,142.251.36.106,48836.0,443.0,6.0,78.0,78.0,70.0,723.0,76.0,600.0,70.0,70.0,70.0,824.0,132.0,70.0,70.0,101.0,70.0,154.0
192.168.10.32,52.184.216.246,26686.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1031.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,709.0,96.0
192.168.10.32,52.184.214.53,26687.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,210.0,96.0,709.0,96.0
192.168.10.32,52.184.214.53,26688.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,209.0,96.0,710.0,64.0
192.168.10.135,3.127.6.122,48970.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,356.0,128.0
192.168.10.32,52.184.216.246,26689.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1031.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,710.0,96.0
192.168.10.32,40.70.229.150,26690.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,207.0,712.0,96.0
192.168.10.32,40.70.229.150,26691.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,709.0,96.0,64.0
192.168.10.32,52.184.213.187,26692.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,712.0,64.0
192.168.10.32,104.208.16.89,26693.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0,96.0
192.168.10.32,20.73.194.208,26694.0,443.0,6.0,70.0,70.0,64.0,274.0,1518.0,1518.0,896.0,64.0,216.0,109.0,127.0,64.0,145.0,970.0,96.0,64.0
192.168.10.32,40.78.107.244,26695.0,443.0,6.0,70.0,70.0,64.0,269.0,1518.0,966.0,64.0,216.0,109.0,127.0,64.0,145.0,341.0,96.0,1518.0,1518.0
192.168.10.32,20.42.73.25,26696.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0,96.0
192.168.10.32,8.238.206.254,26697.0,80.0,6.0,70.0,70.0,64.0,307.0,64.0,1518.0,1518.0,1518.0,64.0,64.0,1518.0,64.0,1518.0,494.0,64.0,64.0
192.168.10.32,52.165.164.15,26698.0,443.0,6.0,70.0,70.0,64.0,274.0,1518.0,1091.0,64.0,216.0,109.0,127.0,64.0,145.0,281.0,96.0,1478.0,1478.0
192.168.10.32,20.42.73.25,26699.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,727.0
192.168.10.32,20.54.110.119,26700.0,443.0,6.0,70.0,70.0,64.0,283.0,1518.0,1518.0,990.0,64.0,216.0,109.0,127.0,64.0,145.0,341.0,96.0,1358.0
192.168.10.32,20.54.24.148,26701.0,443.0,6.0,70.0,70.0,64.0,275.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,234.0,96.0,96.0,64.0
192.168.10.32,23.62.222.56,26702.0,443.0,6.0,70.0,70.0,64.0,277.0,64.0,1518.0,1518.0,1234.0,1518.0,64.0,64.0,427.0,184.0,64.0,332.0,389.0
