src_ip,dst_ip,src_port,dst_port,protocol,DFT_Real_0,DFT_Real_1,DFT_Real_2,DFT_Real_3,DFT_Real_4,DFT_Real_5,DFT_Real_6,DFT_Real_7,DFT_Real_8,DFT_Real_9,DFT_Real_10,DFT_Real_11,DFT_Real_12,DFT_Real_13,DFT_Real_14,DFT_Real_15,DFT_Real_16,DFT_Real_17,DFT_Real_18,DFT_Real_19,DFT_Real_20,DFT_Real_21,DFT_Real_22,DFT_Real_23,DFT_Real_24
192.168.10.22,128.131.67.19,22.0,50414.0,6.0,0.04666666666666659,0.0,0.0,0.0,0.0,0.04666666666666659,0.0,0.0,0.0,0.0,0.04666666666666659,0.0,0.0,0.0,0.0,0.04666666666666659,0.0,0.0,0.0,0.0,0.04666666666666659,0.0,0.0,0.0,0.0
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,0.2191111111111111,0.04332989681590475,0.019555555555555566,0.015999999999999993,-0.030222222222222223,0.22977777777777775,0.030341310752191604,-0.05555555555555554,-0.06222222222222222,-0.03155555555555556,0.23155555555555551,9.572902629931383e-05,-0.0848888888888889,-0.02666666666666666,0.05022222222222224,0.23155555555555554,-0.031953280992659865,-0.031111111111111117,0.060444444444444446,-0.02044444444444445,0.23155555555555551,-0.055440435174111104,0.053777777777777765,0.026666666666666658,-0.02977777777777778
192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,0.051277777777777714,0.0026388888888888825,0.00036111111111111673,-0.0006111111111111166,0.0003611111111111176,0.05044444444444438,0.001058475493514309,-0.0006111111111111087,0.0,0.0006111111111111085,0.05044444444444438,2.777777777777508e-05,-0.0001388888888888918,0.0014444444444444496,-0.0001388888888888921,0.04961111111111105,-0.0017320508075688774,5.5555555555549866e-05,0.0,-5.555555555554943e-05,0.04961111111111105,-0.0021944444444444416,0.001027777777777775,-0.0006111111111111161,0.0010277777777777755
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,0.07599999999999996,-0.002295583781982702,-0.0045555555555555575,0.005333333333333333,0.004999999999999999,0.07311111111111106,-0.004025497046610822,-0.0018888888888888848,-0.0031111111111111166,-0.013222222222222229,0.07555555555555551,0.00032905824745182305,0.006777777777777789,-0.002444444444444442,0.009888888888888892,0.07933333333333328,0.0054226497308103765,0.00811111111111111,0.0006666666666666666,-0.0010000000000000009,0.07711111111111105,0.0033609679228849164,-0.0035555555555555627,-0.0013333333333333326,-0.011555555555555555
192.168.10.30,128.130.135.23,1883.0,39808.0,6.0,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476,0.04755555555555553,0.0,0.0,0.0,-0.0004444444444444672,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,0.06266666666666659,0.0,0.0,0.0,0.003999999999999998,0.06266666666666659,0.0,0.0,0.0,0.003999999999999998,0.06266666666666659,0.0,0.0,0.0,-0.008,0.06266666666666659,0.0,0.0,0.0,0.003999999999999998,0.06266666666666659,0.0,0.0,0.0,0.003999999999999998
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,0.044666666666666605,0.0,-1.4456028966473392e-19,0.0,0.0,0.044666666666666605,0.0,1.4456028966473392e-19,0.0,0.0,0.044666666666666605,0.0,-1.4456028966473392e-19,0.0,0.0,0.044666666666666605,0.0,1.4456028966473392e-19,0.0,0.0,0.044666666666666605,0.0,-1.4456028966473392e-19,0.0,0.0
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0,0.0426666666666666,0.0,0.0,0.0,0.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,0.1391666666666666,0.03289337361688365,0.03783333333333333,0.020277777777777777,0.005166666666666661,0.11644444444444438,-0.004688604568526926,0.01713888888888889,-0.02355555555555556,0.014694444444444435,0.11766666666666661,-0.017233577230435296,0.002638888888888894,0.0024444444444444496,0.002250000000000002,0.11522222222222214,-0.028499999999999998,-0.016944444444444436,0.022333333333333334,-0.016944444444444443,0.11522222222222214,-0.029685426340833265,-0.01713888888888889,0.0,0.017138888888888888
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,0.10222222222222217,0.0,0.0,0.0,0.0032222222222222188,0.10222222222222217,0.0,0.0,0.0,0.02655555555555556,0.10222222222222217,0.0,0.0,0.0,-0.02977777777777778,0.10222222222222217,0.0,0.0,0.0,0.0032222222222222188,0.10222222222222217,0.0,0.0,0.0,0.02655555555555556
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097,0.0644444444444444,0.0,0.0,0.0,-0.008888888888888901,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097
192.168.10.30,128.130.135.23,1883.0,34240.0,6.0,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476,0.04755555555555553,0.0,0.0,0.0,-0.0004444444444444672,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476,0.04755555555555553,0.0,0.0,0.0,0.00022222222222223476
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097,0.0644444444444444,0.0,0.0,0.0,-0.008888888888888901,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097,0.0644444444444444,0.0,0.0,0.0,-0.008888888888888901,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097,0.0644444444444444,0.0,0.0,0.0,-0.008888888888888901,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097,0.0644444444444444,0.0,0.0,0.0,-0.008888888888888901,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097,0.0644444444444444,0.0,0.0,0.0,-0.008888888888888901,0.06444444444444439,0.0,0.0,0.0,0.008444444444444449,0.06444444444444439,0.0,0.0,0.0,0.00044444444444445097
192.168.10.22,128.130.2.3,123.0,123.0,17.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0
192.168.10.23,142.251.36.106,48816.0,443.0,6.0,0.16066666666666665,-0.02162324851434218,-0.06380555555555556,-0.002666666666666666,0.06091666666666669,0.1602222222222222,-0.016222222222222214,-0.05800000000000001,0.03377777777777779,-0.05044444444444446,0.15977777777777774,-0.0064149203212349095,0.006027777777777771,0.0031111111111111157,-0.009805555555555557,0.15977777777777774,0.00555569874378174,0.06447222222222224,-0.03333333333333334,0.060694444444444454,0.13677777777777772,-0.0038809114700306176,0.046944444444444455,-0.0031111111111111157,-0.03938888888888889
192.168.10.23,34.117.65.55,58196.0,443.0,6.0,0.05822222222222216,0.00017863279495408175,0.0006666666666666662,0.001333333333333334,-0.003777777777777785,0.056888888888888836,-0.001333333333333334,-0.0013333333333333344,-0.001333333333333334,0.0008888888888888835,0.05688888888888883,-0.001154700538379252,-0.0006666666666666671,0.0,0.004222222222222233,0.0566666666666666,-0.000859116756396544,0.0005555555555555544,0.001333333333333334,-0.0050000000000000044,0.0566666666666666,-0.00011111111111111215,0.0014444444444444472,0.00022222222222222435,0.0009999999999999961
192.168.10.32,192.168.10.255,138.0,138.0,17.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0
192.168.10.150,239.255.255.250,1900.0,1900.0,17.0,0.35144444444444434,-0.004597541825618126,-0.0004166666666666763,-0.006944444444444438,-0.0021388888888888937,0.35144444444444434,-0.003365634206275438,0.0,0.006944444444444438,0.0042777777777777875,0.35144444444444434,-0.0012319076193426856,0.0004166666666666763,0.006944444444444438,-0.0021388888888888937,0.35144444444444434,0.0012319076193426856,0.0004166666666666763,-0.006944444444444438,-0.0021388888888888937,0.35144444444444434,0.003365634206275438,0.0,-0.006944444444444438,0.0042777777777777875
192.168.10.22,81.16.47.3,123.0,123.0,17.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0
192.168.10.22,217.196.145.42,123.0,123.0,17.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0
192.168.10.32,239.255.255.250,63733.0,3702.0,17.0,0.468,0.0,0.0,0.0,0.0,0.468,0.0,0.0,0.0,0.0,0.468,0.0,0.0,0.0,0.0,0.468,0.0,0.0,0.0,0.0,0.468,0.0,0.0,0.0,0.0
192.168.10.150,192.168.10.255,138.0,138.0,17.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0,0.16466666666666657,0.0,0.0,0.0,0.0
192.168.10.32,51.104.136.2,26671.0,443.0,6.0,0.2752222222222222,-0.15705090707843042,0.026583333333333348,0.03883333333333334,-0.025194444444444453,0.27938888888888885,-0.07841782997874158,-0.10033333333333333,0.07094444444444445,0.007055555555555555,0.29127777777777775,0.027356654469833822,-0.1251388888888889,-0.043,0.008027777777777762,0.2930555555555555,0.11545165727455009,-0.035805555555555556,-0.08283333333333334,-0.027861111111111114,0.2831666666666666,0.16226967497695868,0.08261111111111111,0.041222222222222216,0.023
192.168.10.32,51.104.136.2,26672.0,443.0,6.0,0.2752222222222222,-0.15705090707843042,0.026583333333333348,0.03883333333333334,-0.025194444444444453,0.27938888888888885,-0.07841782997874158,-0.10033333333333333,0.07094444444444445,0.007055555555555555,0.3335555555555555,0.0639702840409426,-0.10400000000000001,-0.043,-0.01311111111111111,0.33533333333333326,0.13659054616343896,-0.05694444444444444,-0.12511111111111112,-0.049,0.3254444444444444,0.16226967497695868,0.04033333333333333,0.041222222222222216,0.06527777777777777
192.168.10.22,185.144.161.170,123.0,123.0,17.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0
192.168.10.22,78.41.116.149,123.0,123.0,17.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0
192.168.10.22,162.159.200.1,123.0,123.0,17.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0,0.0626666666666666,0.0,0.0,0.0,0.0
192.168.10.32,52.184.214.53,26674.0,443.0,6.0,0.2076666666666666,-0.09036145366099846,-0.02286111111111111,0.08261111111111111,-0.058750000000000004,0.21544444444444438,-0.02355730190098732,-0.1025,0.03250000000000001,0.04644444444444444,0.21688888888888883,0.04303215768471591,-0.08669444444444444,-0.09038888888888891,0.0038055555555555525,0.2527222222222222,0.12767931789472875,0.032277777777777766,-0.03394444444444446,-0.06961111111111111,0.24249999999999997,0.13342887052378477,0.07802777777777778,0.05455555555555556,0.035083333333333334
192.168.10.135,35.159.42.141,42628.0,443.0,6.0,0.15127777777777773,0.03256834244603054,-0.049416666666666664,-0.07933333333333333,-0.02847222222222222,0.23027777777777772,0.07120667638828004,-0.04841666666666666,-0.009388888888888893,0.030694444444444448,0.22983333333333328,0.011380338717125849,-0.0782222222222222,0.0003333333333333336,-0.081,0.24572222222222218,-0.03729072566274432,-0.021416666666666667,0.009833333333333341,0.042805555555555555,0.23383333333333328,-0.10215473890554883,0.034972222222222224,-0.016222222222222228,0.028250000000000015
192.168.10.32,52.182.143.209,26675.0,443.0,6.0,0.31461111111111106,-0.18900119139879237,0.06375,-0.0021666666666666683,0.014194444444444435,0.3142777777777777,-0.11128402665746968,-0.08775,0.06755555555555555,-0.0029722222222222277,0.3184444444444444,0.00019337567297405636,-0.14908333333333335,0.0025000000000000022,-0.012972222222222218,0.3552777777777778,0.1393508988540687,-0.047083333333333324,-0.07172222222222221,-0.006638888888888897,0.3455,0.19586832394121678,0.06027777777777778,-0.03933333333333333,-0.012333333333333344
192.168.10.23,34.117.65.55,58202.0,443.0,6.0,0.14294444444444443,-0.015680445594272882,-0.06441666666666665,0.009888888888888898,0.05586111111111112,0.1442222222222222,-0.012937640618113165,-0.0316111111111111,0.0031666666666666666,-0.04277777777777778,0.14377777777777773,-0.00839088324360346,0.03130555555555555,-0.011166666666666674,-0.014138888888888881,0.14377777777777773,-0.0011513510357419217,0.0633611111111111,-0.002722222222222216,0.0573611111111111,0.10961111111111106,-0.023192516543616926,0.01497222222222222,0.011166666666666674,-0.026138888888888892
192.168.10.23,34.117.65.55,58204.0,443.0,6.0,0.17316666666666664,-0.005460608924274233,-0.06438888888888888,-0.014111111111111097,-0.00883333333333334,0.1775,-0.012900635094610972,-0.04702777777777778,-0.026833333333333338,0.00708333333333333,0.17705555555555552,-0.02160218002229117,0.012805555555555553,0.009777777777777764,-0.00236111111111111,0.18466666666666665,-0.01747957824055406,0.06408333333333334,0.027277777777777783,-0.008083333333333331,0.1488333333333333,-0.04731702566527735,0.02575,-0.017388888888888884,0.020749999999999998
192.168.10.32,51.104.136.2,26676.0,443.0,6.0,0.2752222222222222,-0.15705090707843042,0.026583333333333348,0.03883333333333334,-0.025194444444444453,0.27938888888888885,-0.07841782997874158,-0.10033333333333333,0.07094444444444445,0.007055555555555555,0.33533333333333326,0.0655098847587816,-0.10311111111111111,-0.043,-0.013999999999999993,0.33711111111111114,0.13747943505232788,-0.057833333333333334,-0.12688888888888888,-0.049888888888888906,0.3272222222222222,0.16226967497695868,0.03855555555555556,0.041222222222222216,0.06705555555555555
192.168.10.32,52.184.214.53,26677.0,443.0,6.0,0.20777777777777773,-0.09045767870586337,-0.022805555555555555,0.08261111111111111,-0.058805555555555555,0.2155555555555555,-0.023612857456542874,-0.10255555555555554,0.03261111111111112,0.04638888888888888,0.21699999999999992,0.04303215768471591,-0.08680555555555555,-0.09038888888888891,0.00391666666666666,0.25283333333333324,0.1277348734502843,0.03222222222222221,-0.03405555555555557,-0.06966666666666665,0.2408333333333333,0.1319854948508107,0.07719444444444443,0.05455555555555556,0.03591666666666668
192.168.10.32,40.70.229.150,26678.0,443.0,6.0,0.20772222222222217,-0.0904095661834309,-0.022833333333333334,0.08261111111111111,-0.058777777777777776,0.2091666666666666,-0.029069907236066537,-0.10569444444444444,0.03255555555555556,0.04958333333333334,0.21683333333333327,0.04525409353048574,-0.08047222222222222,-0.08405555555555556,0.003916666666666652,0.2526666666666666,0.13081820678361764,0.03547222222222221,-0.04022222222222222,-0.07908333333333334,0.2406666666666666,0.13510404899504494,0.0741111111111111,0.04822222222222222,0.045333333333333344
192.168.10.32,52.184.213.187,26679.0,443.0,6.0,0.20772222222222217,-0.0904095661834309,-0.022833333333333334,0.08261111111111111,-0.058777777777777776,0.2091666666666666,-0.029069907236066537,-0.10569444444444444,0.03255555555555556,0.04958333333333334,0.21683333333333327,0.04525409353048574,-0.08047222222222222,-0.08405555555555556,0.003916666666666652,0.25283333333333324,0.13096254435091503,0.03555555555555554,-0.04022222222222222,-0.07916666666666666,0.2408333333333333,0.13518738232837826,0.07402777777777778,0.04805555555555555,0.04525000000000001
