timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_window_size,interval_time,direction
1697402324.726676,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.0,0.0
1697402324.726808,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.0001320838928222,0.0
1697402324.728987,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.0021789073944091,0.0
1697402324.729014,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.694129943847656e-05,0.0
1697402324.729146,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.0001320838928222,0.0
1697402324.729172,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5987625122070312e-05,0.0
1697402324.729198,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5987625122070312e-05,0.0
1697402324.729223,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5033950805664062e-05,0.0
1697402324.729355,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.0001320838928222,0.0
1697402324.729877,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.0005218982696533,0.0
1697402324.729903,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5987625122070312e-05,0.0
1697402324.729928,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5033950805664062e-05,0.0
1697402324.730062,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,0.000133991241455,0.0
1697402324.730088,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5987625122070312e-05,0.0
1697402324.730114,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5987625122070312e-05,0.0
1697402324.73014,192.168.10.22,128.131.67.19,22.0,50414.0,6.0,70.0,32768.0,2.5987625122070312e-05,0.0
,,,,,,,,,
1697402324.791137,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,134.0,0.0,0.0,0.0
1697402325.975812,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,1.1846749782562256,0.0
1697402325.977639,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0018270015716552,0.0
1697402326.002618,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0249791145324707,0.0
1697402326.002837,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,550.0,0.0,0.0002188682556152,0.0
1697402326.004391,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0015540122985839,0.0
1697402326.004892,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,294.0,0.0,0.0005011558532714,0.0
1697402326.032668,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0277760028839111,0.0
1697402326.032694,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,198.0,0.0,2.5987625122070312e-05,0.0
1697402326.032831,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,374.0,0.0,0.0001368522644042,0.0
1697402326.034665,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0018341541290283,0.0
1697402326.036664,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,1494.0,0.0,0.0019989013671875,0.0
1697402326.036693,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,326.0,0.0,2.9087066650390625e-05,0.0
1697402326.036784,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,182.0,0.0,9.083747863769533e-05,0.0
1697402326.03689,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0001060962677001,0.0
1697402326.062535,192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,150.0,0.0,0.0256450176239013,0.0
,,,,,,,,,
1697402326.407607,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,100.0,501.0,0.0,1.0
1697402326.408822,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,506.0,0.0012149810791015,1.0
1697402326.409113,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,85.0,506.0,0.0002908706665039,1.0
1697402326.409304,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,501.0,0.0001909732818603,1.0
1697402341.526741,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,506.0,15.11743712425232,1.0
1697402341.527079,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,501.0,0.000338077545166,1.0
1697402346.491814,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,72.0,506.0,4.964734792709351,1.0
1697402346.492181,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,501.0,0.0003671646118164,1.0
1697402346.4924,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,76.0,501.0,0.0002188682556152,1.0
1697402346.534647,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,506.0,0.0422470569610595,1.0
1697402351.56281,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,100.0,501.0,5.028162956237793,1.0
1697402351.56354,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,506.0,0.0007300376892089,1.0
1697402351.563744,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,85.0,506.0,0.0002040863037109,1.0
1697402351.604893,192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,70.0,501.0,0.0411489009857177,1.0
