src_ip,dst_ip,src_port,dst_port,protocol,tcp_window0,tcp_window1,tcp_window2,tcp_window3,tcp_window4,tcp_window5,tcp_window6,tcp_window7,tcp_window8,tcp_window9,tcp_window10,tcp_window11,tcp_window12,tcp_window13,tcp_window14,tcp_window15
192.168.10.22,128.131.67.19,22.0,50414.0,6.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,501.0,506.0,506.0,501.0,506.0,501.0,506.0,501.0,501.0,506.0,501.0,506.0,506.0,501.0,506.0,501.0
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,1324.0,9876.0,9876.0,1324.0,9876.0,9876.0,1324.0,9876.0,9876.0,1324.0,9876.0,1324.0,9876.0,9876.0,1324.0,9876.0
192.168.10.30,128.130.135.23,1883.0,39808.0,6.0,1537.0,235.0,1537.0,1537.0,235.0,1537.0,1537.0,235.0,1537.0,1537.0,235.0,1537.0,1537.0,235.0,1537.0,1537.0
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,18704.0,9807.0,18704.0,18704.0,9807.0,18704.0,18704.0,9807.0,18704.0,18704.0,9807.0,18704.0,18704.0,9807.0,18704.0,18704.0
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,65179.0,65535.0,65177.0,65177.0,65535.0,65175.0,65175.0,65535.0,65173.0,65173.0,65535.0,65171.0,65171.0,65535.0,65169.0,65169.0
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,252.0,501.0,252.0,501.0,252.0,501.0,252.0,501.0,252.0,501.0,252.0,501.0,252.0,501.0,252.0,501.0
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,839.0,13.0,13.0,862.0,862.0,13.0,862.0,862.0,14.0,14.0,885.0,885.0,14.0,14.0,907.0,14.0
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,1027.0,7037.0,1026.0,1026.0,6932.0,1025.0,1025.0,6827.0,1025.0,1025.0,8192.0,1024.0,1024.0,8087.0,1023.0,1023.0
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,296.0,501.0,296.0,296.0,501.0,296.0,296.0,501.0,296.0,296.0,501.0,296.0,296.0,501.0,296.0,296.0
