src_ip,dst_ip,src_port,dst_port,protocol,packet_size0,packet_size1,packet_size2,packet_size3,packet_size4,packet_size5,packet_size6,packet_size7,packet_size8,packet_size9,packet_size10,packet_size11,packet_size12,packet_size13,packet_size14,packet_size15
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,0.108,0.04666666666666667,0.108,0.07066666666666667,0.04666666666666667,0.09466666666666666,0.04666666666666667,0.07066666666666667,0.04666666666666667,0.08133333333333333,0.04666666666666667,0.076,0.04666666666666667,0.12133333333333333,0.04666666666666667,0.09466666666666666
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,0.996,0.996,0.5586666666666666,0.08933333333333333,0.11066666666666666,0.11066666666666666,0.11066666666666666,0.08933333333333333,0.08933333333333333,0.15333333333333332,0.12133333333333333,0.08933333333333333,0.11066666666666666,0.08933333333333333,0.31333333333333335,0.324
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.042666666666666665
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,0.07066666666666667,0.07066666666666667,0.04666666666666667,0.07066666666666667,0.07066666666666667,0.04666666666666667,0.07066666666666667,0.07066666666666667,0.04666666666666667,0.07066666666666667,0.07066666666666667,0.04666666666666667,0.07066666666666667,0.07066666666666667,0.04666666666666667,0.07066666666666667
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667,0.042666666666666665,0.04666666666666667
192.168.10.135,3.127.6.122,48164.0,443.0,6.0,0.31933333333333336,0.17066666666666666,0.076,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.31933333333333336,0.17066666666666666,0.04666666666666667,0.076,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.31933333333333336,0.18533333333333332
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,0.10866666666666666,0.15533333333333332,0.042666666666666665,0.10866666666666666,0.15533333333333332,0.042666666666666665,0.10866666666666666,0.15533333333333332,0.042666666666666665,0.10866666666666666,0.15533333333333332,0.042666666666666665,0.10866666666666666,0.15533333333333332,0.042666666666666665,0.10866666666666666
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,0.08133333333333333,0.06533333333333333,0.04666666666666667,0.08133333333333333,0.06533333333333333,0.04666666666666667,0.08133333333333333,0.06533333333333333,0.04666666666666667,0.08133333333333333,0.06533333333333333,0.04666666666666667,0.08133333333333333,0.06533333333333333,0.04666666666666667,0.08133333333333333
128.130.57.3,192.168.10.23,3000.0,39962.0,6.0,0.04666666666666667,0.04666666666666667,0.048,0.04666666666666667,0.050666666666666665,0.04666666666666667,0.06666666666666667,0.04666666666666667,0.056666666666666664,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.048,0.04666666666666667,0.050666666666666665,0.04666666666666667
128.130.135.23,192.168.10.30,34240.0,1883.0,6.0,0.048,0.048,0.04666666666666667,0.048,0.048,0.04666666666666667,0.048,0.048,0.04666666666666667,0.048,0.048,0.04666666666666667,0.048,0.048,0.04666666666666667,0.048
