src_ip,dst_ip,src_port,dst_port,protocol,tcp_window0,tcp_window1,tcp_window2,tcp_window3,tcp_window4,tcp_window5,tcp_window6,tcp_window7,tcp_window8,tcp_window9,tcp_window10,tcp_window11,tcp_window12,tcp_window13,tcp_window14,tcp_window15
192.168.10.135,35.159.42.141,42628.0,443.0,6.0,29200.0,26847.0,229.0,229.0,7.0,7.0,7.0,7.0,229.0,229.0,7.0,229.0,7.0,251.0,7.0,7.0
192.168.10.32,52.182.143.209,26675.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0
192.168.10.23,34.117.65.55,58202.0,443.0,6.0,64240.0,65535.0,502.0,502.0,262.0,262.0,501.0,501.0,501.0,262.0,501.0,501.0,267.0,501.0,267.0,501.0
192.168.10.23,34.117.65.55,58204.0,443.0,6.0,64240.0,65535.0,502.0,502.0,262.0,262.0,501.0,501.0,501.0,267.0,267.0,501.0,501.0,267.0,267.0,501.0
192.168.10.32,51.104.136.2,26676.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,16384.0,16384.0,16384.0,1029.0,1029.0,16383.0,16383.0,1028.0,1028.0,1028.0,1028.0,16383.0
192.168.10.32,52.184.214.53,26677.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0,1028.0,2050.0
192.168.10.32,40.70.229.150,26678.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0,1028.0,2050.0
192.168.10.32,52.184.213.187,26679.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0,1028.0,2050.0
192.168.10.32,52.179.216.235,26680.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0,1028.0,2048.0
192.168.10.23,142.251.36.74,60212.0,443.0,6.0,64240.0,65535.0,502.0,502.0,502.0,502.0,262.0,262.0,267.0,267.0,267.0,267.0,501.0,501.0,501.0,267.0
192.168.10.32,52.184.216.246,26681.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0,1028.0,2051.0
192.168.10.32,52.184.214.53,26682.0,443.0,6.0,64240.0,65535.0,1029.0,1029.0,2052.0,2052.0,1029.0,1029.0,2051.0,2051.0,1028.0,1028.0,1028.0,1028.0,1028.0,2050.0
192.168.10.135,3.127.6.122,48844.0,443.0,6.0,29200.0,26847.0,229.0,229.0,7.0,7.0,7.0,7.0,229.0,229.0,7.0,229.0,7.0,251.0,7.0,7.0
