timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_window_size,interval_time,direction
1697401801.370276,192.168.10.135,131.130.37.53,35042,22,6,162,1324,0.0,1
1697401801.371737,131.130.37.53,192.168.10.135,22,35042,6,70,9876,0.001461029052734375,0
1697401801.441751,131.130.37.53,192.168.10.135,22,35042,6,162,9876,0.07001399993896484,0
1697401801.441895,131.130.37.53,192.168.10.135,22,35042,6,106,9876,0.00014400482177734375,0
1697401801.44232,192.168.10.135,131.130.37.53,35042,22,6,70,1324,0.00042510032653808594,1
1697401801.462538,192.168.10.135,131.130.37.53,35042,22,6,142,1324,0.0202178955078125,1
1697401801.463963,131.130.37.53,192.168.10.135,22,35042,6,70,9876,0.001425027847290039,0
1697401801.46424,131.130.37.53,192.168.10.135,22,35042,6,106,9876,0.0002770423889160156,0
1697401801.509859,192.168.10.135,131.130.37.53,35042,22,6,70,1324,0.04561901092529297,1
1697401802.746308,192.168.10.135,131.130.37.53,35042,22,6,122,1324,1.2364490032196045,1
1697401802.7477,131.130.37.53,192.168.10.135,22,35042,6,70,9876,0.0013918876647949219,0
1697401802.747855,131.130.37.53,192.168.10.135,22,35042,6,114,9876,0.00015497207641601562,0
1697401802.748077,192.168.10.135,131.130.37.53,35042,22,6,70,1324,0.0002219676971435547,1
1697401802.74842,192.168.10.135,131.130.37.53,35042,22,6,182,1324,0.00034308433532714844,1
1697401802.749744,131.130.37.53,192.168.10.135,22,35042,6,70,9876,0.0013239383697509766,0
1697401802.751237,131.130.37.53,192.168.10.135,22,35042,6,142,9876,0.0014929771423339844,0
,,,,,,,,,
1697401802.391006,192.168.10.2,194.45.33.29,4500,4500,17,1494,0,0.0,1
1697401802.391131,192.168.10.2,194.45.33.29,4500,4500,17,1494,0,0.00012493133544921875,1
1697401802.391203,192.168.10.2,194.45.33.29,4500,4500,17,838,0,7.200241088867188e-05,1
1697401802.463543,194.45.33.29,192.168.10.2,4500,4500,17,134,0,0.07234001159667969,0
1697401802.463556,194.45.33.29,192.168.10.2,4500,4500,17,166,0,1.3113021850585938e-05,0
1697401802.463701,194.45.33.29,192.168.10.2,4500,4500,17,166,0,0.00014495849609375,0
1697401802.465259,192.168.10.2,194.45.33.29,4500,4500,17,166,0,0.001558065414428711,1
1697401802.465383,192.168.10.2,194.45.33.29,4500,4500,17,134,0,0.0001239776611328125,1
1697401802.465764,192.168.10.2,194.45.33.29,4500,4500,17,134,0,0.0003809928894042969,1
1697401802.538155,194.45.33.29,192.168.10.2,4500,4500,17,230,0,0.07239103317260742,0
1697401802.539669,192.168.10.2,194.45.33.29,4500,4500,17,182,0,0.0015139579772949219,1
1697401802.580961,194.45.33.29,192.168.10.2,4500,4500,17,134,0,0.04129195213317871,0
1697401802.582023,192.168.10.2,194.45.33.29,4500,4500,17,166,0,0.0010619163513183594,1
1697401802.612746,194.45.33.29,192.168.10.2,4500,4500,17,134,0,0.030723094940185547,0
1697401802.612763,194.45.33.29,192.168.10.2,4500,4500,17,470,0,1.6927719116210938e-05,0
1697401802.622676,192.168.10.2,194.45.33.29,4500,4500,17,486,0,0.009912967681884766,1
,,,,,,,,,
1697401803.141248,192.168.10.150,192.168.10.30,49266,1883,6,64,65273,0.0,1
1697401803.145522,192.168.10.30,192.168.10.150,1883,49266,6,64,65535,0.004274129867553711,0
1697401803.343938,192.168.10.150,192.168.10.30,49266,1883,6,64,65271,0.19841599464416504,1
1697401814.403388,192.168.10.150,192.168.10.30,49266,1883,6,64,65271,11.059449911117554,1
1697401814.407057,192.168.10.30,192.168.10.150,1883,49266,6,64,65535,0.0036690235137939453,0
1697401814.606046,192.168.10.150,192.168.10.30,49266,1883,6,64,65269,0.1989889144897461,1
1697401825.6655,192.168.10.150,192.168.10.30,49266,1883,6,64,65269,11.059453964233398,1
1697401825.670073,192.168.10.30,192.168.10.150,1883,49266,6,64,65535,0.00457310676574707,0
1697401825.88374,192.168.10.150,192.168.10.30,49266,1883,6,64,65267,0.2136669158935547,1
1697401836.927668,192.168.10.150,192.168.10.30,49266,1883,6,64,65267,11.043928146362305,1
1697401836.931673,192.168.10.30,192.168.10.150,1883,49266,6,64,65535,0.004004955291748047,0
1697401837.145825,192.168.10.150,192.168.10.30,49266,1883,6,64,65265,0.21415185928344727,1
1697401848.189656,192.168.10.150,192.168.10.30,49266,1883,6,64,65265,11.04383111000061,1
1697401848.19357,192.168.10.30,192.168.10.150,1883,49266,6,64,65535,0.00391387939453125,0
1697401848.407957,192.168.10.150,192.168.10.30,49266,1883,6,64,65263,0.2143871784210205,1
1697401859.451788,192.168.10.150,192.168.10.30,49266,1883,6,64,65263,11.043830871582031,1
,,,,,,,,,
1697401803.141793,192.168.10.135,131.130.37.53,49666,22,6,106,18704,0.0,1
1697401803.145123,131.130.37.53,192.168.10.135,22,49666,6,106,9807,0.0033299922943115234,0
1697401803.145368,192.168.10.135,131.130.37.53,49666,22,6,70,18704,0.00024509429931640625,1
1697401814.403887,192.168.10.135,131.130.37.53,49666,22,6,106,18704,11.258518934249878,1
