src_ip,dst_ip,src_port,dst_port,protocol,DFT_Mod_0,DFT_Mod_1,DFT_Mod_2,DFT_Mod_3,DFT_Mod_4,DFT_Mod_5,DFT_Mod_6,DFT_Mod_7,DFT_Mod_8,DFT_Mod_9,DFT_Mod_10,DFT_Mod_11,DFT_Mod_12,DFT_Mod_13,DFT_Mod_14,DFT_Mod_15,DFT_Mod_16,DFT_Mod_17,DFT_Mod_18,DFT_Mod_19,DFT_Mod_20,DFT_Mod_21,DFT_Mod_22,DFT_Mod_23,DFT_Mod_24
128.131.67.19,192.168.10.22,50414.0,22.0,6.0,0.0002710024515787513,0.00014672969447808985,0.00021345066879150006,0.00017142233432487785,0.00016084553997363778,0.00028216838836666794,0.00015356675001057033,0.000206419637854727,0.0001607801580331056,0.00015676284846450676,0.0002733270327249905,0.0001453227034445431,0.0002032487312171259,0.00015824010434400788,0.00016263712980326501,9.391705195107135e-05,4.11672481687427e-05,4.132588704427018e-05,4.9258369771645915e-05,4.164377848307018e-05,9.383757909137083e-05,4.1246720437226265e-05,4.124641418456966e-05,4.932519146655818e-05,4.156430562336966e-05
194.45.33.29,192.168.10.2,4500.0,4500.0,17.0,0.08840433756510413,0.08218415032596703,0.0843966716706247,0.07891207907968184,0.08453904366897452,0.08840676148732499,0.08218622365808456,0.084397842292665,0.07891206908928475,0.08453786813363666,0.005080997943878137,0.002073935090348854,0.001960325130542087,0.004426236292637256,0.0018900951263945147,0.004937589168548547,0.0020886640259628665,0.0018170745703199552,0.004418053428655101,0.0020317164858755167,0.004993081092834429,0.0021102074724778145,0.0018431043461473035,0.004473499534342289,0.0020524970865507964
192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,0.25379983584086097,0.08331359161627777,0.1443048656075486,0.08341459683782768,0.14437803034959823,0.25381684303283686,0.08329659927436313,0.1443044603225823,0.08339760499422502,0.1443784324276598,0.25714466969172156,0.08036240459966625,0.1413927347271876,0.08360510556731095,0.1472303546484751,0.34045376380284625,0.08026948214856813,0.08172338842421671,0.16677300108875115,0.0850150304599988,0.3404647707939148,0.08027912652623743,0.08172923714620625,0.16677254800024843,0.08500986555598752
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,0.08839048941930135,0.08343310857879252,0.0798337676419614,0.0830070947827826,0.08645167803716977,0.08857415119806925,0.0835882931879775,0.07992579069242181,0.08301475225719794,0.08635838837432189,0.08815799156824745,0.08339565854901043,0.08013388849895585,0.08343053248681775,0.08656423424420978,0.0881850719451904,0.08339445662172368,0.08010680819367008,0.08342938367387384,0.08659131439393986,0.0889270702997843,0.08299776144641838,0.07973988459605227,0.08417072499248712,0.0862200696899097
128.130.135.23,192.168.10.30,39808.0,1883.0,6.0,0.2520025968551635,0.08310705528254594,0.0833200436944422,0.0835053595811986,0.24900049443958175,0.3353359301884969,0.00022692134076399836,2.3297284472720456e-05,0.0002528119763989218,0.3323333782077925,0.33518391847610474,0.00011149526607813506,0.0001288103783071568,0.00017504381418660932,0.33240903560854845,0.33515650033950806,0.00011570650213458805,0.00014480172991857343,0.00014822315927408243,0.33242280357460396,0.33515650033950806,0.00011570650213458805,0.00014480172991857343,0.00014822315927408243,0.33242280357460385
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,0.25141668319702143,0.08330431531073255,0.08324579342163235,0.08328350607140733,0.24929405425417842,0.3347500165303548,8.037880250867436e-05,0.00017535686492920009,7.851311709915886e-05,0.33262678735259915,0.3347250819206238,6.29211921711835e-05,0.00015042225519816657,6.132776004527378e-05,0.33263918433987955,0.33472484350204457,6.270211209526587e-05,0.0001503031877305729,6.152171176565509e-05,0.3326393042136287,0.3347248435020447,6.270211209526587e-05,0.0001503031877305729,6.152171176565509e-05,0.33263930421362864
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,0.32273815075556433,0.08328639582447674,0.08334991528330957,0.08319283641717477,0.22202043966447327,0.4060714840888977,4.8901796868441396e-05,2.440760674023776e-05,0.00014693314390515155,0.3030555628543278,0.4060221513112386,1.1732941425076269e-05,7.333419224313168e-05,0.0001681166824730095,0.30308825850181026,0.4060697555541992,4.125117258543184e-05,6.788234917071206e-05,0.00013096498545465865,0.3030731678285679,0.4060697555541992,4.12511725854318e-05,6.788234917071208e-05,0.00013096498545465865,0.30307316782856797
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,0.42288345098495483,0.08335330353976605,0.08337108350248867,0.08333336034373234,0.0832955842862815,0.5062167843182881,8.908102660678887e-05,3.8968468528136905e-05,6.709496180215835e-05,3.896846852812199e-05,0.5062090357144673,8.712127968595871e-05,4.473108305016832e-05,7.484356562295841e-05,4.473108305015785e-05,0.5062090357144673,8.712127968595874e-05,4.47310830501597e-05,7.484356562295841e-05,4.473108305015786e-05,0.5061376094818115,2.9021389393716228e-05,3.400732721825172e-05,3.4173329671167577e-06,3.400732721825439e-05
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,0.29353590806325275,0.10943322432141522,0.10926690369041206,0.044973095869316214,0.1181914874027912,0.2947259942690531,0.10864374005321845,0.11021491109026427,0.045115049746948334,0.11727136210987905,0.2933453321456909,0.10995259220348093,0.11039184869193487,0.04648393755114574,0.11750821009605195,0.2933669884999593,0.10993137480640122,0.11037180968582586,0.04648116212715655,0.11752858759261249,0.3766758243242899,0.07293173218663251,0.0676355129734517,0.1295446236518727,0.07615320267595635
