src_ip,dst_ip,src_port,dst_port,protocol,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,0.0,0.0014610290527343,0.0700139999389648,0.0001440048217773,0.000425100326538,0.0202178955078125,0.00142502784729,0.000277042388916,0.0456190109252929,1.0,0.0013918876647949,0.000154972076416,0.0002219676971435,0.0003430843353271,0.0013239383697509,0.0014929771423339
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,0.0,0.0001249313354492,7.200241088867188e-05,0.0723400115966796,1.3113021850585938e-05,0.0001449584960937,0.0015580654144287,0.0001239776611328,0.0003809928894042,0.0723910331726074,0.0015139579772949,0.0412919521331787,0.0010619163513183,0.0307230949401855,1.6927719116210938e-05,0.0099129676818847
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,0.0,0.0042741298675537,0.198415994644165,1.0,0.0036690235137939,0.1989889144897461,1.0,0.004573106765747,0.2136669158935547,1.0,0.004004955291748,0.2141518592834472,1.0,0.0039138793945312,0.2143871784210205,11.043830871582031
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,0.0,0.0033299922943115,0.0002450942993164,1.0,0.0027740001678466,0.0002379417419433,1.0,0.0031690597534179,0.0002410411834716,1.0,0.0036308765411376,0.000244140625,1.0,0.0030980110168457,0.0002481937408447,11.258638858795166
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,0.0,0.0121240615844726,1.0,0.0121538639068603,1.0,0.0122621059417724,1.0,0.012164831161499,1.0,0.0122179985046386,1.0,0.0121638774871826,1.0,0.0121641159057617,1.0,0.0122318267822265
192.168.10.135,3.127.6.122,48164.0,443.0,6.0,0.0,0.0244970321655273,1.2159347534179688e-05,0.0002999305725097,9.5367431640625e-07,1.0,0.0002589225769042,1.0,0.0216748714447021,0.0002901554107666,0.0036568641662597,0.0002341270446777,1.0,0.0002119541168212,1.0,0.0235400199890136
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,0.0,0.0191278457641601,0.0419890880584716,1.0,0.0194010734558105,0.0415999889373779,1.0,0.0192599296569824,0.0418200492858886,1.0,0.0196290016174316,0.0416679382324218,1.0,0.01898193359375,0.0421841144561767,59.938408851623535
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,0.0,0.0015349388122558,0.0003340244293212,1.0,0.0016939640045166,0.0003931522369384,1.0,0.0014660358428955,0.0003180503845214,1.0,0.0038671493530273,0.0003719329833984,1.0,0.0019562244415283,0.0004348754882812,60.03393197059631
128.130.57.3,192.168.10.23,3000.0,39962.0,6.0,0.0,0.0003449916839599,1.0,0.0003638267517089,0.0001540184020996,0.0436999797821044,1.0,0.0007669925689697,0.0003159046173095,0.0405590534210205,1.0,0.0003280639648437,1.0,0.0003330707550048,0.0001308917999267,0.0429279804229736
128.130.135.23,192.168.10.30,34240.0,1883.0,6.0,0.0,0.0040960311889648,0.0011980533599853,1.0,0.0037379264831542,0.0014071464538574,1.0,0.0034520626068115,0.0013971328735351,1.0,0.0059070587158203,0.0034329891204833,1.0,0.0055141448974609,0.0018627643585205,60.003560066223145
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,0.0,0.0014359951019287,0.0003678798675537,1.0,0.0012619495391845,0.0003061294555664,1.0,0.0013809204101562,0.0003259181976318,1.0,0.003007173538208,0.0002028942108154,1.0,0.0017929077148437,0.0001919269561767,60.03421211242676
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,0.0,0.001237154006958,0.0003588199615478,1.0,0.0013549327850341,0.0003490447998046,1.0,0.0015058517456054,0.0003931522369384,1.0,0.0027999877929687,0.0004060268402099,1.0,0.0016529560089111,0.0003340244293212,60.034188985824585
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.907026052474976
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,0.0,0.001518964767456,0.0003259181976318,1.0,0.0016520023345947,0.0004100799560546,1.0,0.0017259120941162,0.0003540515899658,1.0,0.0029318332672119,0.0004031658172607,1.0,0.0044879913330078,0.0004129409790039,60.03905296325684
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,0.0,0.0016579627990722,0.0002088546752929,1.0,0.0015690326690673,0.0002319812774658,1.0,0.0020661354064941,0.0002539157867431,1.0,0.0035080909729003,0.0002038478851318,1.0,0.0026850700378417,0.000270128250122,60.06032395362854
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,0.0,0.0015740394592285,0.0002448558807373,1.0,0.0014050006866455,0.0002369880676269,1.0,0.0015349388122558,0.0002288818359375,1.0,0.0031359195709228,0.0002391338348388,1.0,0.0048480033874511,0.0002670288085937,60.06028485298157
