timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_window_size,interval_time,direction
1697402324.726676,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.0,1
1697402324.726808,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.00013208389282226562,1
1697402324.728987,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.0021789073944091797,1
1697402324.729014,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.6941299438476562e-05,1
1697402324.729146,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.00013208389282226562,1
1697402324.729172,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5987625122070312e-05,1
1697402324.729198,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5987625122070312e-05,1
1697402324.729223,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5033950805664062e-05,1
1697402324.729355,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.00013208389282226562,1
1697402324.729877,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.0005218982696533203,1
1697402324.729903,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5987625122070312e-05,1
1697402324.729928,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5033950805664062e-05,1
1697402324.730062,128.131.67.19,192.168.10.22,50414,22,6,70,32768,0.00013399124145507812,1
1697402324.730088,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5987625122070312e-05,1
1697402324.730114,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5987625122070312e-05,1
1697402324.73014,128.131.67.19,192.168.10.22,50414,22,6,70,32768,2.5987625122070312e-05,1
,,,,,,,,,
1697402324.791137,194.45.33.29,192.168.10.2,4500,4500,17,134,0,0.0,1
1697402325.975812,194.45.33.29,192.168.10.2,4500,4500,17,150,0,1.1846749782562256,1
1697402325.977639,192.168.10.2,194.45.33.29,4500,4500,17,150,0,0.0018270015716552734,0
1697402326.002618,194.45.33.29,192.168.10.2,4500,4500,17,150,0,0.024979114532470703,1
1697402326.002837,194.45.33.29,192.168.10.2,4500,4500,17,550,0,0.00021886825561523438,1
1697402326.004391,192.168.10.2,194.45.33.29,4500,4500,17,150,0,0.0015540122985839844,0
1697402326.004892,192.168.10.2,194.45.33.29,4500,4500,17,294,0,0.0005011558532714844,0
1697402326.032668,194.45.33.29,192.168.10.2,4500,4500,17,150,0,0.027776002883911133,1
1697402326.032694,194.45.33.29,192.168.10.2,4500,4500,17,198,0,2.5987625122070312e-05,1
1697402326.032831,194.45.33.29,192.168.10.2,4500,4500,17,374,0,0.00013685226440429688,1
1697402326.034665,192.168.10.2,194.45.33.29,4500,4500,17,150,0,0.0018341541290283203,0
1697402326.036664,192.168.10.2,194.45.33.29,4500,4500,17,1494,0,0.0019989013671875,0
1697402326.036693,192.168.10.2,194.45.33.29,4500,4500,17,326,0,2.9087066650390625e-05,0
1697402326.036784,192.168.10.2,194.45.33.29,4500,4500,17,182,0,9.083747863769531e-05,0
1697402326.03689,192.168.10.2,194.45.33.29,4500,4500,17,150,0,0.00010609626770019531,0
1697402326.062535,194.45.33.29,192.168.10.2,4500,4500,17,150,0,0.025645017623901367,1
,,,,,,,,,
1697402326.407607,192.168.10.23,128.130.57.3,39962,3000,6,100,501,0.0,1
1697402326.408822,128.130.57.3,192.168.10.23,3000,39962,6,70,506,0.0012149810791015625,0
1697402326.409113,128.130.57.3,192.168.10.23,3000,39962,6,85,506,0.00029087066650390625,0
1697402326.409304,192.168.10.23,128.130.57.3,39962,3000,6,70,501,0.00019097328186035156,1
1697402341.526741,128.130.57.3,192.168.10.23,3000,39962,6,70,506,15.11743712425232,0
1697402341.527079,192.168.10.23,128.130.57.3,39962,3000,6,70,501,0.0003380775451660156,1
1697402346.491814,128.130.57.3,192.168.10.23,3000,39962,6,72,506,4.964734792709351,0
1697402346.492181,192.168.10.23,128.130.57.3,39962,3000,6,70,501,0.00036716461181640625,1
1697402346.4924,192.168.10.23,128.130.57.3,39962,3000,6,76,501,0.00021886825561523438,1
1697402346.534647,128.130.57.3,192.168.10.23,3000,39962,6,70,506,0.04224705696105957,0
1697402351.56281,192.168.10.23,128.130.57.3,39962,3000,6,100,501,5.028162956237793,1
1697402351.56354,128.130.57.3,192.168.10.23,3000,39962,6,70,506,0.0007300376892089844,0
1697402351.563744,128.130.57.3,192.168.10.23,3000,39962,6,85,506,0.0002040863037109375,0
1697402351.604893,192.168.10.23,128.130.57.3,39962,3000,6,70,501,0.04114890098571777,1
1697402366.614737,128.130.57.3,192.168.10.23,3000,39962,6,70,506,15.009844064712524,0
1697402366.61506,192.168.10.23,128.130.57.3,39962,3000,6,70,501,0.0003230571746826172,1
,,,,,,,,,
1697402327.746766,192.168.10.135,131.130.37.53,35042,22,6,122,1324,0.0,1
1697402327.751787,131.130.37.53,192.168.10.135,22,35042,6,70,9876,0.005020856857299805,0
1697402327.752111,131.130.37.53,192.168.10.135,22,35042,6,114,9876,0.00032401084899902344,0
1697402327.752647,192.168.10.135,131.130.37.53,35042,22,6,182,1324,0.0005359649658203125,1
